tweets,Label
Guys will eat a kebab from a street vendor but won't have a #vaccine because you don't know what's in it... Thinking face,1
A beautiful summary for #2020 and #2021 strategies. #coronavirus #vaccines will not be the magic bullet. We have the responsibility to protect ourselves and each other until reaching herd immunity with #vaccine scaling: ,2
"When you get to know that we don't have any #vaccine But we have shop, wall paint, furniture, toilet cleaner etc... Which killed 99.99% of the virusGrimacing face",1
First official application for #COVID19 #vaccine by pfizer is a great news. I hope the hard pandemic days will be over soon,3
Great news! Bill Gates and Klaus Schwab confirm the new Covid-19 vaccine has no known side effects. Smiles all round. ,4
"80% of Pfizer's Covid-19 vaccines have been bought in advance by wealthy countries, representing only 14% of the world's population. If we are going to beat this virus, everyone needs to have access to a vaccine. ",1
More #Covid19 vaccine candidates are showing promise by the day,3
"Our willingness to put a foreign substance into our bodies is highly dependent on trust... It’s not surprising that #hesitancy regarding a #COVID19 #vaccine is so rampant...""",1
"We are proud to announce, along with @BioNTech_Group, that the Phase 3 study of our #COVID19 vaccine candidate has met all primary efficacy endpoints.",4
It's been great to hear some positive news in the world over the past few days!,3
Russia submits certification request to @WHO on world’s first #vaccine against #Covid19 – #SputnikV.,2
"The weather this afternoon was a bit like our current situation, a bit of light appearing on the horizon after all the gloom #vaccine",3
Pfizer vaccine trial ends with 95% success rate,4
Time to share the fantastic work of Bradford and our vaccine trial ,4
"A combination of getting a COVID-19 #vaccine, wearing a mask, staying at least 6 feet away from others, and washing your hands often are all needed. ",2
Hopefully the vaccine is like a crock of gold at the end. ,3
I can’t wait for the #CovidVaccine and get back to doing what I love,3
I don't know one single person that plans to take a #CovidVaccine. Not one.,1
Pfizer and Media lie about COVID Vaccine,1
#CovidVaccine Good news. The Moderna Vaccine is 95% effective. Expect more good news. Very soon the Oxford-Astra Zeneca vaccine results shall be a announced. Let us pray that this trend continues. Hopefully the virus can be beaten.,4
A great outcome & a great step forward in bringing this pandemic to an end in the near future. Congratulations @pfizer for your hard work and dedication. #COVID19 #CovidVaccine,4
Yeah I’m not taking a “covid” vaccine that can fuck right the fuck off #CovidVaccine,0
The #CovidVaccine of #BioNTech is currently in emergency approval! The #pandemic life will be over in 6 Month!,3
Science doesn't stop because of pharma press conferences ...just enrolled in the AZ #CovidVaccine trial.,2
Amazing to see the world’s medical and scientific communities coming together for a #CovidVaccine. So vital!,4
Just registered my interest to be a Covid vaccinator #COVID19 #CovidVaccine,3
"Black people have always been targeted for global depopulation via biological warfare and ""vaccines"". ",0
I'm hopeful with all this talk about the #covidvaccine.  It would be great to have this available and put family's safe. I would love to see kids at the park having a great time with their smiles again!,4
The #CovidVaccine being made mandatory is murder!,0
Would you become a guinea pig for such a trial? “#COVID?19 ,0
 What's taking the clinical trials so long?” ,1
Italy to start COVID vaccinations in January. Italy will receive 3.4 million doses of the Pfizer vaccine in January through the European Union's purchase program,2
Serum Institute of India may be the world’s best hope for producing enough vaccine to end the COVID19 pandemic.,3
India will become the healthcare provider of the world,3
"A #COVID19 vaccine may be on its way, but the costs of the pandemic are mounting, and the economic damage will long outlive the health crisis, @UNCTAD warns in a new report.",1
"It’ll take months to get all of us immunized, but we’re genuinely close.",3
#Covid19 vaccine is affordable and accessible for all. ,4
This must truly be a people's vaccine,2
"For everybody who is thrilled with the fast development of Covid-19 vaccines, l have 1 word for you: thalidomide.",0
"If we can create a #COVID19 vaccine in rapid speed, surely we can solve both the unemployment and housing crisis ASAP too!",4
"A vaccine might bring Covid-19 under control, but it won't undo the damage to the economy",2
"Thank God vaccines are coming, I don't usually take them but this one I will.",3
Very worried about a COVID vaccine,2
"Make the vaccine free for every person in this country, no excuses or exceptions.",2
Doctors and nurses want more data before championing vaccines to end the pandemic,2
"This is a really tough time for our state, but there is hope on the horizon.",3
Fantastic team work on this study by the @researchstockp1 A team!!!! And the wider GMCRN team #letsbeatthis #vaccine #covid-19,4
#Moderna says their #COVID-19 #vaccine is 94.5 percent effective in early analysis,3
Great work! I signed up for this trial got a call back instantly. Must have been a great uptake. Well done!,4
And it begins! Yay! #vaccine #covid #recovery #2021 #thankyou #healthcareworkers #CoronavirusVaccine,4
I’m ecstatic over the news that #vaccines by @pfizer @moderna_tx have greater than 90% efficacy against #COVID19. This is a game changer. The wreckage of this #invisible #enemy on our nation must be #stopped! #covid #OperationWarpSpeed #trump #america #vaccine,4
Saw one the happiest news ever!the immune response provoked by the vaccine is as good in older patients as in younger patients –– very important since COVID is a high risk for older people.,4
"I do love this detail from the Bloomberg profile of Sarah Gilbert, whose team developed the Oxford COVID vaccine. I, for one, 100% trust the lady who injected her own kids",4
"Great news - Oxford AstraZeneca Covid vaccine has up to 90% efficacy, data reveals. Science providing the exit strategy.",4
A third vaccine showing promise. Keep praying everyone.Im very confident that this time we will get it.,4
Monday is vaccine efficacy announcement day it seems.Yehh!!!hurray!! Finally!!,4
